author,title,description,url,source,image,category,language,country,published_at
,Dólar,"Na quinta-feira (25), moeda norte-americana fechou em alta de 1,70%, a R$ 5,5129. Notas de dólarGary Cameron/ReutersO dólar abriu em alta nesta sexta-feira (26), após ter voltado a fechar na véspera acima de R$ 5,50.Às 9h10, a moeda norte-americana subia 0,42%, cotada a R$ 5,5363. Veja mais cotações. Na quinta-feira, o dólar fechou em alta de 1,7%, a R$ 5,5129, no maior patamar de fechamento desde 5 de novembro (R$ 5,5429), mesmo após intervenção do Banco Central. Na parcial do mês, passou a acumular alta de 0,98%. No ano, tem valorização de 6,28% ante o real. Por que a moeda...",https://g1.globo.com/economia/noticia/2021/02/26/dolar.ghtml,G1 - Economia,https://s2.glbimg.com/mwpwBWs8149TUS_xgsMaBoKsSiU=/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2018/A/v/h4ku5DS5ap1fGCV2OPtQ/dolar2.jpg,business,pt,br,2021-02-26T12:10:31+00:00
,Dólar,"Na quarta-feira (2), moeda norte-americana fechou em alta de 0,25%, a R$ 5,2413.  Notas de dólar e real em casa de câmbio no Rio de Janeiro
Reuters
O dólar abriu em queda nesta quinta-feira (3), em dia de divulgação dos números do PIB (Produto Interno Bruto) do 3º trimestre e com os mercados monitorando sinais de avanço em direção à distribuição de vacinas para a Covid-19.
Às 09h02, a moeda norte-americana recuava 0,63%, cotada a R$ 5,2085. Veja mais cotações.
Na quarta-feira, o dólar fechou em alta de 0,25%, a R$ 5,2413. Na parcial de dezembro, a moeda norte-americana acumula queda de 1,97%. No ano, o avanço ainda é de 30,71%. 
Cenário local e externo
No exterior, a atividade empresarial da zona do euro contraiu com força em novembro depois que governos em todo o bloco retomaram as medidas de lockdown para tentar conter uma segunda onda de infecções por coronavírus. O PMI Composto da IHS Markit despencou a 45,3 em novembro de 50,0 em outubro -- a marca de 50 separa crescimento de contração.
A economia do bloco vai contrair de novo neste trimestre, de acordo com pesquisa da Reuters, mas com esperanças de uma vacina e de suporte adicional do Banco Central Europeu, as estimativas de crescimento trimestral para o próximo ano foram melhoradas.
Por aqui, o IBGE divulga nesta quinta os dados oficiais do PIB (Produto Interno Bruto) do 3º trimestre.
Do lado mais estrutural, o foco dos mercados segue voltado para a sustentabilidade fiscal do Brasil e as incertezas sobre a aprovação de medidas de ajuste fiscal para garantir a saúde das contas públicas. 
O principal temor dos mercados, por ora, é de que o governo fure seu teto de gastos no ano que vem diante de um Orçamento apertado, preocupação que vem acompanhada de frustração com os atrasos na agenda de reformas estruturais.
Na véspera, o Fundo Monetário Internacional (FMI) alertou que uma ""recuperação robusta e inclusiva"" da economia brasileira depende do avanço de reformas estruturais"" e da sustentabilidade da dívida pública.
Risco fiscal: entenda o que é e saiba por que a piora das contas públicas preocupa 
Assista às últimas notícias de economia
A
Variação do dólar em 2020
Economia G1",https://g1.globo.com/economia/noticia/2020/12/03/dolar.ghtml,G1 - Economia,https://s2.glbimg.com/PD4CHtgtUy1eyGgN-XCbpQgLd24=/s.glbimg.com/jo/g1/f/original/2016/04/20/2016-04-20t133856z_1_lynxnpec3j0w3_rtroptp_3_brazil-ratings-economy.jpg,business,pt,br,2020-12-03T12:05:48+00:00
Bloomberg,Apostas contra dólar se aproximam de maior nível em uma década,"Combinação de rendimentos reais negativos nos EUA, preços muito altos de ativos e um déficit em conta corrente deve pesar sobre a moeda no próximo ano
The post Apostas contra dólar se aproximam de maior nível em uma década appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/apostas-contra-dolar-se-aproximam-de-maior-nivel-em-uma-decada/,InfoMoney,,business,pt,br,2020-12-29T12:45:43+00:00
Bloomberg,Brasil anuncia emissão externa de títulos em dólar,"Emergentes correram para vender dívida em moeda estrangeira em meio ao otimismo com avanço de vacinas contra coronavírus e expectativa de estímulos nos EUA
The post Brasil anuncia emissão externa de títulos em dólar appeared first on InfoMoney.",https://www.infomoney.com.br/onde-investir/brasil-anuncia-emissao-externa-de-titulos-em-dolar/,InfoMoney,,business,pt,br,2020-12-02T15:22:05+00:00
Bloomberg,Rápida recuperação econômica da China desafia hegemonia do dólar,"É um fim um tanto irônico para a busca do presidente Donald Trump por um dólar mais fraco
The post Rápida recuperação econômica da China desafia hegemonia do dólar appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/rapida-recuperacao-economica-da-china-desafia-hegemonia-do-dolar/,InfoMoney,,business,pt,br,2021-01-08T15:45:34+00:00
Bloomberg,Iniciativa de dólar digital do Fed preocupa Wall Street,"Bancos, empresas de cartão de crédito e processadores de pagamentos observam com nervosismo a iniciativa de criar uma alternativa eletrônica para o dólarThe post Iniciativa de dólar digital do Fed preocupa Wall Street appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/iniciativa-de-dolar-digital-do-fed-preocupa-wall-street/,InfoMoney,,business,pt,br,2021-03-22T19:58:25+00:00
Bloomberg,"Apostas contra dólar podem ser arriscadas, dizem estrategistas","O Goldman Sachs vê espaço para apostar contra o dólar, o diretor do Morgan Stanley espera queda de 10% e o Citigroup projeta um deslize de até 20% em 2021
The post Apostas contra dólar podem ser arriscadas, dizem estrategistas appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/apostas-contra-dolar-podem-ser-arriscadas-dizem-estrategistas/,InfoMoney,,business,pt,br,2020-12-17T20:03:43+00:00
Agência Estado,Ajuste fiscal será fator decisivo para rumo do dólar,"Na visão de economistas, são boas as chances de que a moeda siga nesse patamar mais baixo, desde que o País dê sinais positivos no manejo da economia
The post Ajuste fiscal será fator decisivo para rumo do dólar appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ajuste-fiscal-sera-fator-decisivo-para-rumo-do-dolar/,InfoMoney,,business,pt,br,2020-12-14T20:27:00+00:00
Bloomberg,Teoria de ciclo baixista do dólar em mercado global ganha força,"O dólar cai em espiral, testando níveis vistos pela última vez em abril de 2018, segundo desempenho monitorado por um índice da Bloomberg
The post Teoria de ciclo baixista do dólar em mercado global ganha força appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/teoria-de-ciclo-baixista-do-dolar-em-mercado-global-ganha-forca/,InfoMoney,,business,pt,br,2020-12-03T20:00:33+00:00
Bloomberg,Yellen pode enfrentar pressão para apoiar dólar forte,"Os EUA adotaram a política de favorecer um dólar “forte” em 1995, com o fim dos pedidos para outros países valorizarem suas moedas
The post Yellen pode enfrentar pressão para apoiar dólar forte appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/yellen-pode-enfrentar-pressao-para-apoiar-dolar-forte/,InfoMoney,,business,pt,br,2020-12-21T19:35:29+00:00
